bionicx-exec: running untraced pid=27093
libqt5network5t64:arm64	5.15.15+dfsg-6+deb13u1	installed
libqt5opengl5t64:arm64	5.15.15+dfsg-6+deb13u1	installed
libqt5printsupport5t64:arm64	5.15.15+dfsg-6+deb13u1	installed
libqt5qml5:arm64	5.15.15+dfsg-3	installed
libqt5sql5-sqlite:arm64	5.15.15+dfsg-6+deb13u1	installed
libqt5sql5t64:arm64	5.15.15+dfsg-6+deb13u1	installed
libqt5svg5:arm64	5.15.15-2	installed
libqt5test5t64:arm64	5.15.15+dfsg-6+deb13u1	installed
libqt5waylandclient5:arm64	5.15.15-3	installed
libqt5widgets5t64:arm64	5.15.15+dfsg-6+deb13u1	installed
libqt5x11extras5:arm64	5.15.15-2	installed
libqt5xml5t64:arm64	5.15.15+dfsg-6+deb13u1	installed
libqt6core5compat6:arm64	6.8.2-3+b1	installed
libqt6core6t64:arm64	6.8.2+dfsg-9+deb13u2	installed
libqt6dbus6:arm64	6.8.2+dfsg-9+deb13u2	installed
libqt6gui6:arm64	6.8.2+dfsg-9+deb13u2	installed
libqt6network6:arm64	6.8.2+dfsg-9+deb13u2	installed
libqt6sql6:arm64	6.8.2+dfsg-9+deb13u2	installed
libqt6sql6-sqlite:arm64	6.8.2+dfsg-9+deb13u2	installed
libqt6svg6:arm64	6.8.2-3	installed
libqt6svgwidgets6:arm64	6.8.2-3	installed
libqt6widgets6:arm64	6.8.2+dfsg-9+deb13u2	installed
libqt6xml6:arm64	6.8.2+dfsg-9+deb13u2	installed
libquazip5-1t64:arm64	0.9.1-5	installed
librabbitmq4:arm64	0.15.0-1+deb13u1	installed
libraptor2-0:arm64	2.0.16-6	installed
librasqal3t64:arm64	0.9.33-2.1+b2	installed
librav1e0.7:arm64	0.7.1-9+b2	installed
libraw1394-11:arm64	2.1.2-2+b2	installed
libraw23t64:arm64	0.21.4-2	installed
